station_name,station_link,type,bus_number
Charoen Krung soi 111,http://www.transitbangkok.com/stations/Bangkok%20Bus/Charoen%20Krung%20soi%20111,inbound,1
Wat Lat Bua Khao,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Lat%20Bua%20Khao,inbound,1
Menam Ramada Plaza Riverside Hotel,http://www.transitbangkok.com/stations/Bangkok%20Bus/Menam%20Ramada%20Plaza%20Riverside%20Hotel,inbound,1
Wat Yan Nawa,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Yan%20Nawa,inbound,1
Sathorn/Saphan Taksin,http://www.transitbangkok.com/stations/BTS/Sathorn_Saphan%20Taksin,inbound,1
Robinson Bang Rak,http://www.transitbangkok.com/stations/Bangkok%20Bus/Robinson%20Bang%20Rak,inbound,1
Bang Rak Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Rak%20Market,inbound,1
Oriental Hotel,http://www.transitbangkok.com/stations/Bangkok%20Bus/Oriental%20Hotel,inbound,1
Sheraton Royal Orchid,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,inbound,1
Hua Lamphong Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Hua%20Lamphong%20Railway%20Station,inbound,1
Thian Fah Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thian%20Fah%20Hospital,inbound,1
China Town,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20Town,inbound,1
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,1
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,outbound,1
Charoen Krung,http://www.transitbangkok.com/stations/Bangkok%20Bus/Charoen%20Krung,outbound,1
Hua Lamphong Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Hua%20Lamphong%20Railway%20Station,outbound,1
Sheraton Royal Orchid,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sheraton%20Royal%20Orchid,outbound,1
Oriental Hotel,http://www.transitbangkok.com/stations/Bangkok%20Bus/Oriental%20Hotel,outbound,1
Bang Rak Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bang%20Rak%20Market,outbound,1
Robinson Bang Rak,http://www.transitbangkok.com/stations/Bangkok%20Bus/Robinson%20Bang%20Rak,outbound,1
Sathorn/Saphan Taksin,http://www.transitbangkok.com/stations/BTS/Sathorn_Saphan%20Taksin,outbound,1
Wat Yan Nawa,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Yan%20Nawa,outbound,1
Menam Ramada Plaza Riverside Hotel,http://www.transitbangkok.com/stations/Bangkok%20Bus/Menam%20Ramada%20Plaza%20Riverside%20Hotel,outbound,1
Wat Lat Bua Khao,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Lat%20Bua%20Khao,outbound,1
Charoen Krung soi 111,http://www.transitbangkok.com/stations/Bangkok%20Bus/Charoen%20Krung%20soi%20111,outbound,1
Imperial Samrong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Imperial%20Samrong,inbound,2
Bearing,http://www.transitbangkok.com/stations/BTS/Bearing,inbound,2
Bang Na,http://www.transitbangkok.com/stations/BTS/Bang%20Na,inbound,2
"BITEC, Bang Na, Entrance 3",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%203,inbound,2
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,inbound,2
Udom Suk Post Office,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udom%20Suk%20Post%20Office,inbound,2
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,inbound,2
Bang Chak,http://www.transitbangkok.com/stations/BTS/Bang%20Chak,inbound,2
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,inbound,2
Phra Khanong,http://www.transitbangkok.com/stations/BTS/Phra%20Khanong,inbound,2
Ekkamai,http://www.transitbangkok.com/stations/BTS/Ekkamai,inbound,2
Thong Lo,http://www.transitbangkok.com/stations/BTS/Thong%20Lo,inbound,2
Embassy of the Republic of the Philippines,http://www.transitbangkok.com/stations/Bangkok%20Bus/Embassy%20of%20the%20Republic%20of%20the%20Philippines,inbound,2
Phrom Phong,http://www.transitbangkok.com/stations/BTS/Phrom%20Phong,inbound,2
Asok,http://www.transitbangkok.com/stations/BTS/Asok,inbound,2
Nana,http://www.transitbangkok.com/stations/BTS/Nana,inbound,2
Ploen Chit,http://www.transitbangkok.com/stations/BTS/Ploen%20Chit,inbound,2
Chit Lom,http://www.transitbangkok.com/stations/BTS/Chit%20Lom,inbound,2
Central World,http://www.transitbangkok.com/stations/Bangkok%20Bus/Central%20World,inbound,2
Panthip Plaza,http://www.transitbangkok.com/stations/Bangkok%20Bus/Panthip%20Plaza,inbound,2
Uruphong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Uruphong,inbound,2
Department of Social Welfare,http://www.transitbangkok.com/stations/Bangkok%20Bus/Department%20of%20Social%20Welfare,inbound,2
Thai Airways (Lan Luang Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Thai%20Airways%20%28Lan%20Luang%20Road%29,inbound,2
Wat Ratchanatdaram (Ratchadamnoen Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Ratchanatdaram%20%28Ratchadamnoen%20Road%29,inbound,2
Democracy Monument,http://www.transitbangkok.com/stations/Bangkok%20Bus/Democracy%20Monument,inbound,2
Khok Wua,http://www.transitbangkok.com/stations/Bangkok%20Bus/Khok%20Wua,inbound,2
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,inbound,2
Grand Palace (Sanam Chai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Grand%20Palace%20%28Sanam%20Chai%20Road%29,inbound,2
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,2
Bus stop for Rachini Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Rachini%20Pier,inbound,2
Pak Klong Flower Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Pak%20Klong%20Flower%20Market,inbound,2
Pak Klong Flower Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Pak%20Klong%20Flower%20Market,outbound,2
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,outbound,2
Grand Palace (Sanam Chai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Grand%20Palace%20%28Sanam%20Chai%20Road%29,outbound,2
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,outbound,2
Khok Wua,http://www.transitbangkok.com/stations/Bangkok%20Bus/Khok%20Wua,outbound,2
Democracy Monument,http://www.transitbangkok.com/stations/Bangkok%20Bus/Democracy%20Monument,outbound,2
Wat Ratchanatdaram (Ratchadamnoen Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Ratchanatdaram%20%28Ratchadamnoen%20Road%29,outbound,2
Thai Airways (Lan Luang Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Thai%20Airways%20%28Lan%20Luang%20Road%29,outbound,2
Department of Social Welfare,http://www.transitbangkok.com/stations/Bangkok%20Bus/Department%20of%20Social%20Welfare,outbound,2
Uruphong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Uruphong,outbound,2
Panthip Plaza,http://www.transitbangkok.com/stations/Bangkok%20Bus/Panthip%20Plaza,outbound,2
Central World,http://www.transitbangkok.com/stations/Bangkok%20Bus/Central%20World,outbound,2
Chit Lom,http://www.transitbangkok.com/stations/BTS/Chit%20Lom,outbound,2
Ploen Chit,http://www.transitbangkok.com/stations/BTS/Ploen%20Chit,outbound,2
Nana,http://www.transitbangkok.com/stations/BTS/Nana,outbound,2
Asok,http://www.transitbangkok.com/stations/BTS/Asok,outbound,2
Phrom Phong,http://www.transitbangkok.com/stations/BTS/Phrom%20Phong,outbound,2
Embassy of the Republic of the Philippines,http://www.transitbangkok.com/stations/Bangkok%20Bus/Embassy%20of%20the%20Republic%20of%20the%20Philippines,outbound,2
Thong Lo,http://www.transitbangkok.com/stations/BTS/Thong%20Lo,outbound,2
Ekkamai,http://www.transitbangkok.com/stations/BTS/Ekkamai,outbound,2
Phra Khanong,http://www.transitbangkok.com/stations/BTS/Phra%20Khanong,outbound,2
On Nut,http://www.transitbangkok.com/stations/BTS/On%20Nut,outbound,2
Bang Chak,http://www.transitbangkok.com/stations/BTS/Bang%20Chak,outbound,2
Punnawithi,http://www.transitbangkok.com/stations/BTS/Punnawithi,outbound,2
Udom Suk Post Office,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udom%20Suk%20Post%20Office,outbound,2
Udomsuk - Sukhumvit Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Udomsuk%20-%20Sukhumvit%20Intersection,outbound,2
"BITEC, Bang Na, Entrance 3",http://www.transitbangkok.com/stations/Bangkok%20Bus/BITEC%2C%20Bang%20Na%2C%20Entrance%203,outbound,2
Bang Na,http://www.transitbangkok.com/stations/BTS/Bang%20Na,outbound,2
Bearing,http://www.transitbangkok.com/stations/BTS/Bearing,outbound,2
Imperial Samrong,http://www.transitbangkok.com/stations/Bangkok%20Bus/Imperial%20Samrong,outbound,2
Wong Wian Yai,http://www.transitbangkok.com/stations/BTS/Wong%20Wian%20Yai,inbound,3
Wong Wian Yai Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wong%20Wian%20Yai%20Railway%20Station,inbound,3
Ban Khaek Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ban%20Khaek%20Intersection,inbound,3
Pak Klong Flower Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Pak%20Klong%20Flower%20Market,inbound,3
Bus stop for Tha Thian Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Tha%20Thian%20Pier,inbound,3
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,inbound,3
Bus stop for Phra Arthit Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Phra%20Arthit%20Pier,inbound,3
Wat Sam Phraya,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Sam%20Phraya,inbound,3
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,inbound,3
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,inbound,3
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,inbound,3
Saphan Kwai,http://www.transitbangkok.com/stations/BTS/Saphan%20Kwai,inbound,3
Chatuchak Park,http://www.transitbangkok.com/stations/Mrt/Chatuchak%20Park,inbound,3
Mo Chit,http://www.transitbangkok.com/stations/BTS/Mo%20Chit,inbound,3
Horwang School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Horwang%20School,inbound,3
Mochit 2 / Northeastern Bus Terminal,http://www.transitbangkok.com/stations/Bangkok%20Bus/Mochit%202%20_%20Northeastern%20Bus%20Terminal,inbound,3
Mochit 2 / Northeastern Bus Terminal,http://www.transitbangkok.com/stations/Bangkok%20Bus/Mochit%202%20_%20Northeastern%20Bus%20Terminal,outbound,3
Horwang School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Horwang%20School,outbound,3
Mo Chit,http://www.transitbangkok.com/stations/BTS/Mo%20Chit,outbound,3
Chatuchak Park,http://www.transitbangkok.com/stations/Mrt/Chatuchak%20Park,outbound,3
Saphan Kwai,http://www.transitbangkok.com/stations/BTS/Saphan%20Kwai,outbound,3
Bus stop for Kiak Kai Pier,http://www.transitbangkok.com/stations/Bangkok%20Bus/Bus%20stop%20for%20Kiak%20Kai%20Pier,outbound,3
Royal Irrigation Department Si Yan,http://www.transitbangkok.com/stations/Bangkok%20Bus/Royal%20Irrigation%20Department%20Si%20Yan,outbound,3
Thewet  Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Thewet%20%20Intersection,outbound,3
Wat Sam Phraya,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Sam%20Phraya,outbound,3
Wat Chanasongkram School,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Chanasongkram%20School,outbound,3
Sanam Luang,http://www.transitbangkok.com/stations/Bangkok%20Bus/Sanam%20Luang,outbound,3
Ban Khaek Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ban%20Khaek%20Intersection,outbound,3
Wong Wian Yai Railway Station,http://www.transitbangkok.com/stations/Bangkok%20Bus/Wong%20Wian%20Yai%20Railway%20Station,outbound,3
Wong Wian Yai,http://www.transitbangkok.com/stations/BTS/Wong%20Wian%20Yai,outbound,3
Ban Khaek Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ban%20Khaek%20Intersection,inbound,4
China Town,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20Town,inbound,4
Hua Lamphong,http://www.transitbangkok.com/stations/Mrt/Hua%20Lamphong,inbound,4
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,inbound,4
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,inbound,4
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,inbound,4
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,inbound,4
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,inbound,4
Klong Toei,http://www.transitbangkok.com/stations/Mrt/Klong%20Toei,outbound,4
Lumphini,http://www.transitbangkok.com/stations/Mrt/Lumphini,outbound,4
Si Lom,http://www.transitbangkok.com/stations/Mrt/Si%20Lom,outbound,4
Chulalongkorn Hospital,http://www.transitbangkok.com/stations/Bangkok%20Bus/Chulalongkorn%20Hospital,outbound,4
Sam Yan,http://www.transitbangkok.com/stations/Mrt/Sam%20Yan,outbound,4
Hua Lamphong,http://www.transitbangkok.com/stations/Mrt/Hua%20Lamphong,outbound,4
China Town,http://www.transitbangkok.com/stations/Bangkok%20Bus/China%20Town,outbound,4
Ban Khaek Intersection,http://www.transitbangkok.com/stations/Bangkok%20Bus/Ban%20Khaek%20Intersection,outbound,4
Mochit 2 / Northeastern Bus Terminal,http://www.transitbangkok.com/stations/Bangkok%20Bus/Mochit%202%20_%20Northeastern%20Bus%20Terminal,inbound,5
Samphawut Niwet,http://www.transitbangkok.com/stations/Bangkok%20Bus/Samphawut%20Niwet,inbound,5
Vajiravudh College (Rama V Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Vajiravudh%20College%20%28Rama%20V%20Road%29,inbound,5
Wat Ratchanatdaram (Maha Chai Road),http://www.transitbangkok.com/stations/Bangkok%20Bus/Wat%20Ratchanatdaram%20%28Maha%20Chai%20Road%29,inbound,5
Memorial Bridge,http://www.transitbangkok.com/stations/Chao%20Phraya%20Express/Memorial%20Bridge,inbound,5
Pak Klong Flower Market,http://www.transitbangkok.com/stations/Bangkok%20Bus/Pak%20Klong%20Flower%20Market,inbound,5
