CARRIER,1(a),1(b),2(a),2(b),2(c),3,4,5,6(a),6(b),7,8(a),8(b),8(c),time,uri
AirTran Airways,0,402,0,0,2,404,402,"10,556",0,0,"5,855,058","$186,292",$0,$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Alaska Airlines,0,181,0,13,81,275,181,"1,226",13,9,"4,008,655",$0,"$166,961",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
American Airlines,305,746,0,353,54,"1,458","1,404","17,326","1,197",225,"18,720,802","$176,354","$821,921",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
American Eagle,107,223,8,229,26,593,550,"7,561",0,0,"4,293,651","$43,283","$202,577",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Atlantic Southeast,41,317,7,0,1,366,358,"7,463","4,399",804,"3,426,978","$21,909","$301,664",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Continental Airlines,63,908,13,20,73,"1,077",946,"6,593","1,409","1,317","9,633,366","$23,833","$738,290","$3,438",2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Delta Airlines,74,647,6,2,1,730,721,"20,145","37,229","8,991","24,550,823","$42,692","$731,701",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
ExpressJet,48,616,1,0,13,678,649,"5,857",0,0,"4,062,518","$20,416","$305,352","$14,923",2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Frontier Airlines,8,142,5,51,6,212,47,"1,108",0,0,"2,721,582","$1,271","$25,345",$689,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Hawaiian Airlines,55,0,0,0,0,55,55,225,0,0,"2,152,144","$6,280",$0,"$14,620",2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
JetBlue Airways,0,0,0,0,11,11,0,56,0,0,"6,291,058",0,$0,"$17,862",2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
Mesa Airlines,363,81,39,7,12,495,367,"2,226",564,"1,132","1,844,739","$209,901","$12,145",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
SkyWest Airlines,60,331,4,4,7,406,392,"10,520","5,545","2,190","6,009,979","$23,996","$255,294",$0,2011_4q,https://www.rita.dot.gov/bts/sites/rita.dot.gov.bts/files/subject_areas/airline_information/passengers_denied_confirmed_space_report/2011/html/2011_4q.html
